Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
SLB40946,2025,FORD,BRONCO,BADLANDS 4DR 4X4,N,Available,13,ERUPTION GREEN ,1FMEE9BP8SLB40946,5, ,T,64565
SLB40002,2025,FORD,BRONCO,BIG BEND 4DR 4X4,N,Available,24,AZURE GRAY METALLIC,1FMDE7BH6SLB40002,5, ,S,47170
811FU1J,2025,FORD,EXPEDITION,ACTIVE 4DR 4X4,N,Available,,DARK MATTER GRE,1FMJU1J83SEA76087,, ,O,72970
A804W1R,2025,FORD,F-150,RAPTOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,24,CARBONIZED GRAY,1FTFW1RG2SFC51827,, ,O,83320
811JK8H,2026,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,,STAR WHITE MET ,1FMUK8HH9TGA23319,, ,O,59910
SFC19633,2025,FORD,F-150, ,N,Available,1,ICONIC SILVER M,1FTFW5L84SFC19633,5, ,S,73190
SKF54293,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,10,AGATE BLACK MET,1FTEW2LP3SKF54293,5, ,T,50425
715HU9N,2026,FORD,ESCAPE,ST-LINE SELECT 4DR ALL-WHEEL DRIVE,N,Available,4,CARBONIZED GRAY,1FMCU9NA4TUA03743,, ,O,37550
N029W3L,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,,OXFORD WHITE,1FTEW3LP8SFC57776,, ,P,57565
SKE48109,2025,FORD,F-150, ,N,Available,67,SILVER METALLIC,1FTFW3L89SKE48109,136, ,S,62785
SGC66881A,2020,LEXUS,RX 350,BASE (A8) 4DR ALL-WHEEL DRIVE,U,Available,45,NIGHTFALL MICA,2T2HZMDA8LC217630,46694, ,S,34945
SRB54787A,2017,FORD,F-150, ,U,Available,6, ,1FTEW1EGXHKD58111,91099, ,S,0
